Student ID,Home-work 1,Home-work 2,Home-work 3,Exam
1,45,94,34,42
2,35,94,85,45
3,31,46,22,48
4,46,90,60,50
5,52,94,49,50
6,58,94,30,51
7,47,90,60,52
8,37,94,25,52
9,35,94,45,54
10,57,94,100,54
11,51,94,5,54
12,45,94,33,55
13,44,0,35,55
14,52,95,36,56
15,35,94,57,57
16,57,97,57,57
17,45,90,71,57
18,39,94,54,57
19,31,94,63,57
20,45,94,90,59
21,35,90,84,59
22,37,90,40,61
23,83,97,26,61
24,68,97,55,62
25,50,95,56,62
26,77,93,45,63
27,84,48,18,63
28,45,90,21,63
29,62,95,38,63
30,38,94,40,64
31,50,90,86,64
32,32,90,38,64
33,44,90,43,65
34,57,94,52,68
35,50,94,39,70
36,55,90,62,71
37,43,94,54,72
38,50,90,30,74
39,54,90,82,77
40,64,95,5,78
41,85,95,35,79
42,63,90,62,82
43,75,90,35,83
44,86,97,39,84
45,77,95,79,84
46,79,94,35,86
47,86,98,57,87
48,71,90,9,89
49,45,94,72,90
50,90,94,68,92
51,89,94,53,93
52,90,98,79,98
53,57,92,40,78
54,36,94,54,22
