@relation AAPL_Continuous-weka.filters.unsupervised.attribute.Remove-R1

@attribute 30year_x_5year numeric
@attribute 30year_x_Baltic_vel1 numeric
@attribute 30year_x_West_Texas_vel4 numeric
@attribute 30year_vel1_x_5year_vel7 numeric
@attribute 30year_vel2_x_West_Texas_vel2 numeric
@attribute 30year_vel9_x_SP500_acc5 numeric
@attribute 30year_vel11_x_Sugar_vel11 numeric
@attribute 30year_vel11_x_Sugar_acc1 numeric
@attribute 30year_vel12_x_Gold_vel7 numeric
@attribute 30year_acc2_x_Grains_vel7 numeric
@attribute 30year_acc4_x_Copper_vel12 numeric
@attribute 30year_acc4_x_SP500_vel6 numeric
@attribute 30year_acc5_x_Sugar numeric
@attribute 30year_acc6_x_Aluminium_vel9 numeric
@attribute 30year_acc6_x_SPDR_IPD_acc6 numeric
@attribute 5year_x_Grains_acc6 numeric
@attribute 5year_vel2_x_Gold_vel5 numeric
@attribute 5year_vel3_x_Gold_acc5 numeric
@attribute 5year_vel4_x_Copper numeric
@attribute 5year_vel5_x_Baltic_acc6 numeric
@attribute 5year_vel7_x_Baltic_acc4 numeric
@attribute 5year_vel7_x_Gold_vel4 numeric
@attribute 5year_acc2_x_Baltic_acc4 numeric
@attribute 5year_acc4_x_ADM_acc1 numeric
@attribute 5year_acc5_x_Baltic_acc1 numeric
@attribute 5year_acc6_x_Aluminium_vel4 numeric
@attribute 5year_acc6_x_Copper_acc3 numeric
@attribute Aluminium_vel3_x_ADM_vel2 numeric
@attribute Aluminium_vel7_x_West_Texas_acc3 numeric
@attribute Aluminium_vel8_x_Baltic_vel2 numeric
@attribute Aluminium_vel10_x_Copper_vel12 numeric
@attribute Aluminium_vel11_x_West_Texas numeric
@attribute Baltic_vel1_x_SPDR_IPD_vel1 numeric
@attribute Baltic_vel2_x_SP500_acc5 numeric
@attribute Baltic_acc1_x_Grains_vel1 numeric
@attribute Baltic_acc1_x_Grains_vel11 numeric
@attribute Baltic_acc1_x_ADM_acc3 numeric
@attribute Baltic_acc2_x_Gold_acc2 numeric
@attribute Baltic_acc5_x_West_Texas_vel12 numeric
@attribute Copper_x_Grains_vel1 numeric
@attribute Copper_vel8_x_Sugar_acc1 numeric
@attribute Copper_vel10_x_Gold_vel8 numeric
@attribute Copper_vel12_x_Sugar_vel8 numeric
@attribute Copper_acc3_x_Sugar_vel11 numeric
@attribute Gold_x_SP500_acc1 numeric
@attribute Gold_x_SPDR_IPD_vel6 numeric
@attribute Gold_vel1_x_SP500_acc6 numeric
@attribute Gold_vel1_x_West_Texas_acc1 numeric
@attribute Gold_vel1_x_ADM_vel1 numeric
@attribute Gold_vel2_x_Grains_vel1 numeric
@attribute Gold_vel2_x_SP500_acc3 numeric
@attribute Gold_vel2_x_Sugar numeric
@attribute Gold_vel5_x_Grains_vel8 numeric
@attribute Gold_acc1_x_Sugar_acc5 numeric
@attribute Gold_acc1_x_West_Texas_acc2 numeric
@attribute Gold_acc6_x_ADM_vel1 numeric
@attribute Grains_x_SP500_vel9 numeric
@attribute Grains_vel4_x_ADM_acc1 numeric
@attribute Grains_vel5_x_Sugar_vel4 numeric
@attribute Grains_vel5_x_ADM_acc5 numeric
@attribute Grains_vel10_x_Grains_acc2 numeric
@attribute Grains_vel12_x_Sugar_acc6 numeric
@attribute Grains_acc1_x_Sugar_acc6 numeric
@attribute SP500_vel4_x_West_Texas_vel10 numeric
@attribute SP500_vel10_x_West_Texas numeric
@attribute SP500_acc1_x_SPDR_IPD_vel3 numeric
@attribute SP500_acc2_x_SPDR_IPD numeric
@attribute SP500_acc2_x_West_Texas_acc2 numeric
@attribute SPDR_IPD_x_West_Texas_vel12 numeric
@attribute SPDR_IPD_acc1_x_West_Texas_vel3 numeric
@attribute SPDR_IPD_acc6_x_West_Texas_vel3 numeric
@attribute Sugar_acc2_x_West_Texas_acc5 numeric
@attribute Sugar_acc5_x_West_Texas_vel1 numeric
@attribute West_Texas_vel4_x_West_Texas_acc2 numeric
@attribute Future_change numeric

@data
0.035521,0.025678,0.021398,0.025604,0.003896,0.073399,0.103521,0.083763,0.159043,0.277355,0.062706,0.149969,0.01162,0.097749,0.115336,0.142084,0.130445,0.0487,0.002941,0.28362,0.114853,0.294082,0.156888,0.085762,0.26867,0.157061,0.102248,0.435765,0.116642,0.279674,0.148927,0,0.304593,0.227079,0.520262,0.479278,0.338113,0.049635,0.058481,0.014452,0.286825,0.230793,0.16581,0.304289,0.013299,0.032205,0.447761,0.130987,0.207173,0.481724,0.294094,0.013703,0.21451,0.572958,0,0.169268,0.091277,0.355949,0.584815,0.461443,0.257517,0.455372,0.496355,0.067766,0,0.306566,0.212979,0,0.049349,0.038707,0.064207,0.090101,0.022617,0,0.673511
0.058819,0.034722,0.074757,0.20925,0.139508,0.186932,0.286276,0.107063,0.245062,0.054484,0.320581,0.443229,0.015147,0.299478,0.368779,0.061433,0.249467,0.063689,0.018257,0.320419,0.27297,0.210483,0.26737,0.188895,0.223912,0.576114,0.330359,0.351775,0.651789,0.180875,0.349523,0.005237,0.326387,0.278443,0.213498,0.357218,0.295772,0.079066,0.248026,0.017287,0.127428,0.454435,0.212608,0.382739,0.014766,0.025948,0.279118,0.022866,0.207367,0.248937,0.398298,0.018215,0.240714,0.17827,0.057938,0.079842,0.065169,0.176077,0.27493,0.205689,0.355089,0.224051,0.125084,0.20041,0.008298,0.352643,0.412387,0.140815,0.144954,0.551911,0.507622,0.087364,0.073197,0.151175,0.318275
0.060716,0.032825,0.069634,0.067914,0.168641,0.166778,0.229533,0.049496,0.306157,0.084244,0.333105,0.325313,0.023226,0.183443,0.181685,0.018889,0.190503,0.22197,0.043868,0.502638,0.338076,0.28061,0.330435,0.426595,0.037189,0.425174,0.369484,0.790525,0.447108,0.332522,0.289844,0.007353,0.253115,0.44381,0.043092,0.04988,0.042649,0.214362,0.255977,0.062791,0.112422,0.519562,0.357618,0.613866,0.027487,0.029129,0.444556,0.299365,0.696023,0.539261,0.463543,0.042476,0.37682,0.193684,0.353975,0.664653,0.067285,0.305352,0.275964,0.25064,0.736707,0.19581,0.028461,0.211916,0.011232,0.29699,0.31933,0.615435,0.135663,0.649537,0.619558,0.651451,0.478709,0.738119,0.537988
0.084876,0.104938,0.054527,0.121483,0.563986,0.291151,0.340686,0.317917,0.403021,0.301692,0.393306,0.402211,0.018993,0.067285,0.197859,0.066788,0.50962,0.314016,0.033242,0.402548,0.391721,0.236355,0.513634,0.334563,0.507516,0.242106,0.163259,0.235882,0.180554,0.361152,0.124025,0.001792,0.392226,0.452239,0.7891,0.549878,0.3688,0.1561,0.322112,0.054075,0.429982,0.535533,0.456995,0.299803,0.020365,0.02163,0.375134,0.748437,0.086006,0.452631,0.293496,0.020011,0.727759,0.189928,0.905515,0.083628,0.057271,0.12395,0.105781,0.091479,0.530006,0.090568,0.12295,0.127302,0.005903,0.326523,0.166818,0.334344,0.163839,0.354342,0.321834,0.870325,0.192015,0.42191,0.954825
0.113598,0.105106,0.074023,0.37663,0.093916,0.202674,0.368404,0.375399,0.422585,0.324394,0.134259,0.168007,0.008235,0.14429,0.320907,0.18086,0.469564,0.389933,0.03784,0.248633,0.444936,0.39845,0.508216,0.300929,0.054417,0.330878,0.204335,0.334866,0.302055,0.270491,0.111111,0.001231,0.159043,0.407406,0.002505,0.058743,0.08561,0.091757,0.092065,0.001438,0.321771,0.426274,0.252314,0.262479,0.005018,0.014547,0.043851,0.095156,0.048893,0.009554,0.269259,0.007817,0.392758,0.003445,0.007796,0.317807,0.040528,0.013821,0.028865,0.063752,0.084817,0.040895,0.03215,0.034924,0.002521,0.120671,0.29491,0.053848,0.054613,0.026622,0.132138,0.38572,0.02147,0.041882,0.096509
0.072185,0.096998,0.00891,0.160238,0.0367,0.14053,0.175982,0.240117,0.323086,0.54866,0.128048,0.211802,0.002909,0.031096,0.21978,0.600416,0.506474,0.381568,0.010815,0.066661,0.424714,0.514536,0.5426,0.225314,0.349287,0.036259,0.239753,0.198163,0.108092,0.131552,0.041565,0.000329,0.698025,0.31408,0.119493,0.476133,0.731663,0.1413,0.015512,0.004111,0.28607,0.418141,0.239336,0.307376,0.022735,0.025568,0.402287,0.188305,0.272186,0.091264,0.457724,0.008424,0.634485,0.038888,0.248544,0.310399,0.065776,0.144201,0.035485,0.271684,0.129983,0.368826,0.211419,0.094945,0.001522,0.545636,0.340201,0.202059,0.013566,0.304913,0.355164,0.069942,0.0032,0.024483,0.455852
0.099208,0.092516,0.018329,0.269812,0.288866,0.195392,0.237318,0.272072,0.51524,0.377083,0.14052,0.157491,0.005249,0.079564,0.217187,0.636942,0.520262,0.43262,0.035551,0.049163,0.155357,0.314468,0.262711,0.317242,0.365983,0.084699,0.341149,0.073998,0.100233,0.074795,0.075933,0.003559,0.305706,0.175204,0.295148,0.495849,0.59367,0.864295,0.009563,0.028408,0.404353,0.378418,0.290641,0.292239,0.012476,0.017393,0.091749,0.023612,0.102543,0.338683,0.450931,0.014515,0.791954,0.032551,0.040646,0.255075,0.084497,0.526334,0.084813,0.224283,0.014888,0.550426,0.557138,0.073926,0.004908,0.413987,0.272527,0.564981,0.026468,0.062196,0.084319,0.190784,0.229482,0.128035,0.326489
0.069929,0.037897,0.024588,0.040073,0.049313,0.17364,0.217459,0.296896,0.422281,0.30355,0.087216,0.100055,0.010878,0.048168,0.097753,0.602566,0.187461,0.177658,0.032255,0.056555,0.054914,0.352491,0.053667,0.221762,0.585043,0.095198,0.092069,0.086816,0.043707,0.01523,0.190214,0.007556,0.260675,0.042788,0.152532,0.706467,0.264925,0.56695,0.002403,0.016022,0.422336,0.412743,0.274938,0.190219,0.012852,0.015887,0.17571,0.979533,0.700821,0.150609,0.398323,0.019817,0.716197,0.737685,0.411327,0.702284,0.084185,0.612989,0.744014,0.22718,0.071063,0.580872,0.049226,0.02314,0.008323,0.393045,0.270567,0.247874,0.014705,0.084522,0.068078,0.003947,0.753792,0.097892,0.312115
0.114096,0.003112,0.003457,0.226419,0.008327,0.14528,0.295701,0.103066,0.258377,0.253819,0.126838,0.400465,0.011764,0.266645,0.150525,0.599699,0.289477,0.389241,0.015371,0.015177,0.034697,0.136118,0.019651,0.526334,0.025045,0.027457,0.057883,0.166295,0.052545,0.004963,0.102071,0.003434,0.013509,0.005473,0.113337,0.088291,0.053886,0.103555,0.001771,0.021723,0.029751,0.110681,0.113329,0.15852,0.004706,0.004453,0.195759,0.061559,0.540492,0.387235,0.137434,0.015559,0.691389,0.662313,0.064005,0.886629,0.096071,0.735636,0.840439,0.221699,0.547812,0.845642,0.570226,0.010077,0.004781,0.358794,0.178215,0.037433,0.009234,0.029662,0.012396,0.010018,0.010035,0.00194,0.712526
0.122567,0.010718,0.042872,0.200102,0.128242,0.180883,0.388436,0.009276,0.303176,0.317116,0.145036,0.256033,0.032009,0.412449,0.253119,0.590412,0.388415,0.744706,0.02766,0.009809,0.062757,0.408435,0.073045,0.044905,0.271157,0.084434,0.069423,0.230304,0.039668,0.037492,0.29503,0.015976,0.032808,0.014251,0.53485,0.483853,0.30474,0.051689,0.012472,0.058018,0.006982,0.131164,0.309079,0.261312,0.002922,0.003618,0.084117,0.056078,0.059443,0.696212,0.259056,0.051002,0.494196,0.101193,0.055656,0.197547,0.098537,0.137244,0.855934,0.05997,0.542158,0.774912,0.255177,0.017911,0.015559,0.312651,0.183169,0.225965,0.052334,0.077873,0.068946,0.621055,0.202387,0.138028,0.901437
