Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureTreeSize,measureNumLeaves
soybean,1,1,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,213.0,15.0,0.0,93.42105263157895,6.578947368421052,0.0,0.9279226116461886,0.008876451138429548,0.07470126256051163,9.228762175421942,34.08038912021551,876.4756153419289,82.79920724846903,793.6764080934599,3.8441912953593373,0.36315441775644314,3.4810368776028944,823.7462046466171,3.612921950204461,93.98392724539849,1.0,7.0,0.0,0.0,1.0,221.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9342105263157895,0.007861011133786983,0.992138988866213,0.06578947368421052,0.940676861071598,0.9342105263157895,0.9335089501068278,0.9280920464014895,0.9963879795565608,0.9751552885652672,0.9468296315101976,0.9342105263157895,0.001,0.004,4.72E-4,0.003662,0.472,3.662,52569.0,151837.0,79878.0,96.9298245614035,6.625115420129256,?,?,?,?
soybean,1,2,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,211.0,17.0,0.0,92.54385964912281,7.456140350877193,0.0,0.9182295732157549,0.01140291643447302,0.08706105563122199,11.857545533981401,39.73302698794855,874.8016582276275,146.50234007212723,728.2993181555003,3.836849378191349,0.642554123123365,3.1942952550679835,807.6750841359138,3.5424345795434817,92.32665216619343,1.0,6.0,0.0,0.0,1.0,222.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9254385964912281,0.009951576883275338,0.9900484231167247,0.07456140350877193,0.93489900982217,0.9254385964912281,0.9230396466145715,0.9177295162879399,0.9928983625648773,0.95742880734176,0.9502963202729915,0.9254385964912281,0.0,0.003,1.36E-4,0.003178,0.136,3.178,52569.0,151837.0,79878.0,94.73684210526316,6.994459833794998,?,?,?,?
soybean,1,3,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,456.0,227.0,207.0,20.0,0.0,91.18942731277534,8.810572687224669,0.0,0.9033651901832656,0.011991795310866925,0.09379759073546201,12.471339285491823,42.81694342621468,870.1488353682257,159.7820779917343,710.3667573764915,3.8332547813578226,0.7038858061309881,3.1293689752268348,794.58196989984,3.5003611008803523,91.3156390726642,1.0,7.0,0.0,0.0,1.0,220.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9118942731277533,0.01128464508136375,0.9887153549186363,0.0881057268722467,0.9202573765688951,0.9118942731277533,0.9100419759253355,0.9026739884303312,0.9912822186582462,0.9532407067592048,0.9387148860052765,0.9118942731277533,0.0,0.004,1.45E-4,0.003018,0.145,3.018,52569.0,152154.0,79561.0,93.83259911894272,6.862972408996043,?,?,?,?
soybean,2,1,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,207.0,21.0,0.0,90.78947368421052,9.210526315789474,0.0,0.8991405460060667,0.01076010668474261,0.08625392064931368,11.188880599913201,39.363291055271496,874.8838819364156,110.35473740704003,764.5291445293756,3.837210008493051,0.4840120061712282,3.3531980023218226,811.5047256573354,3.55923125288305,92.75570649000865,1.0,7.0,0.0,0.0,1.0,221.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9078947368421053,0.009679560245857815,0.9903204397541421,0.09210526315789473,0.9224747740416954,0.9078947368421053,0.9078924811061869,0.9021283944368428,0.9950891913673419,0.9691703048369352,0.9231560758353876,0.9078947368421053,0.0,0.003,1.31E-4,0.003199,0.131,3.199,52569.0,151837.0,79878.0,95.6140350877193,6.694367497691579,?,?,?,?
soybean,2,2,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,212.0,16.0,0.0,92.98245614035088,7.017543859649122,0.0,0.9229648400380108,0.008905278702386239,0.07922648035200651,9.260328119840304,36.15729788854175,875.0550308969326,110.73323870428392,764.3217921926487,3.8379606618286517,0.48567209958019264,3.352288562248459,822.6655715197196,3.6081823312268404,94.0130097505395,1.0,7.0,0.0,0.0,1.0,221.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9298245614035088,0.010394544302395071,0.9896054556976049,0.07017543859649122,0.9410332256974724,0.9298245614035088,0.9292719027908377,0.9235778933723184,0.9953557527361963,0.9718358318393053,0.9577988358822497,0.9298245614035088,0.0,0.003,1.23E-4,0.003061,0.123,3.061,52569.0,151837.0,79878.0,96.05263157894737,6.555863342566926,?,?,?,?
soybean,2,3,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,456.0,227.0,211.0,16.0,0.0,92.95154185022027,7.048458149779735,0.0,0.922683923705722,0.010055351068617562,0.08227694367168993,10.455865572276977,37.54640472701985,871.4871961044349,151.34041350152924,720.1467826029057,3.839150643631872,0.6666978568349305,3.172452786796941,811.0576470585551,3.5729411764694055,93.06592806916714,1.0,6.0,0.0,0.0,1.0,221.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9295154185022027,0.010332498449086795,0.9896675015509133,0.07048458149779736,0.9373309747759087,0.9295154185022027,0.927361191638922,0.9213337500762373,0.992849439336457,0.9612011266007239,0.9616392405708981,0.9295154185022027,0.0,0.003,1.23E-4,0.002999,0.123,2.999,52569.0,152154.0,79561.0,94.27312775330397,6.886158126594,?,?,?,?
soybean,3,1,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,209.0,19.0,0.0,91.66666666666667,8.333333333333334,0.0,0.9086981263304318,0.010525597726007634,0.0824561825156051,10.943585907144975,37.61985369323382,876.0373884610642,118.27928235684709,757.7581061042172,3.8422692476362466,0.5187687822668732,3.3235004653693734,815.5508746027101,3.576977520187325,93.09544151253512,1.0,6.0,0.0045045045045045045,1.0,0.9954954954954955,221.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.9237325658879052,1.0,1.0,0.9166666666666666,0.011054662816382736,0.9889453371836173,0.08333333333333333,0.9303383458646617,0.9166666666666666,0.9173923055502002,0.9103713172090986,0.9934858774889578,0.9667080783998981,0.9475665659876187,0.9166666666666666,0.0,0.004,1.52E-4,0.003128,0.152,3.128,52569.0,151837.0,79878.0,95.6140350877193,6.855955678670341,?,?,?,?
soybean,3,2,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,215.0,13.0,0.0,94.29824561403508,5.701754385964913,0.0,0.9374432789514784,0.007937557499195454,0.07529997702342948,8.255529391478424,34.37797743111096,873.9022981228736,97.2122652320946,776.690032890779,3.832904816328393,0.4263695843512921,3.406535231977101,825.0204600187539,3.618510789555938,94.40648706278529,1.0,7.0,0.0,0.0,1.0,221.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9429824561403509,0.007001202960469368,0.9929987970395306,0.05701754385964912,0.9528233962098227,0.9429824561403509,0.942368019503083,0.9387239116085867,0.9965592905325503,0.9808403088443556,0.9558185673862413,0.9429824561403509,0.001,0.003,1.1E-4,0.00299,0.11,2.99,52569.0,151837.0,79878.0,96.05263157894737,6.578947368421033,?,?,?,?
soybean,3,3,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,456.0,227.0,202.0,25.0,0.0,88.98678414096916,11.013215859030836,0.0,0.8791756264770381,0.013386606925223487,0.09640787184889318,13.91910213801567,43.99077834644119,871.4864223538416,176.82390568216758,694.662516671674,3.8391472350389497,0.7789599369258483,3.0601872981131013,787.0480807026978,3.4671721616858933,90.3109974538582,1.0,7.0,0.0,0.0,1.0,220.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8898678414096917,0.013305662812790515,0.9866943371872096,0.11013215859030837,0.9031737003715566,0.8898678414096917,0.886952809038095,0.8801754091043569,0.9937821081720786,0.9538142073309174,0.9064193997761716,0.8898678414096917,0.0,0.003,1.1700000000000001E-4,0.003045,0.117,3.045,52569.0,152154.0,79561.0,93.3920704845815,6.8629724089960416,?,?,?,?
soybean,4,1,weka.classifiers.bayes.NaiveBayes,-K,5995231201785697655,2.02305131101E7,455.0,228.0,215.0,13.0,0.0,94.29824561403508,5.701754385964913,0.0,0.9373904226780171,0.00892591806829082,0.07206835019590081,9.28141434332475,32.88802041941636,875.8716214503313,84.9043267841982,790.9672946661331,3.8415421993435586,0.3723873981763079,3.4691548011672504,825.600815051718,3.621056206367184,94.26048233925295,1.0,6.0,0.0,0.0,1.0,222.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9429824561403509,0.0077523750158229,0.9922476249841771,0.05701754385964912,0.9492900196847566,0.9429824561403509,0.9414706371853024,0.9374115033605059,0.9976332140784215,0.9863853568515342,0.9535298862153825,0.9429824561403509,0.0,0.003,1.24E-4,0.003195,0.124,3.195,52569.0,151837.0,79878.0,97.36842105263158,6.948291782086779,?,?,?,?
